Representative,BioGuideID,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,TickerType,Description,Quarter,EntryPrice,ExitPrice,PercentChange,TransactionType,TradeAmount,PartyName,WeightedReturn
Gilbert Cisneros,C001123,2025-03-06,2025-03-03,STRL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,129.13999938964844,117.0,-9.400650028670784,purchase,15000.0,Democrats,-0.0909740325355237
Marjorie Taylor Greene,G000596,2025-03-09,2025-03-03,DG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-10,ST,,2025-Q1,73.56999969482422,87.54000091552734,18.98871996554588,purchase,15000.0,Republicans,0.23637410745492796
Marjorie Taylor Greene,G000596,2025-03-09,2025-03-03,PI,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-10,ST,,2025-Q1,97.12999725341795,92.86000061035156,-4.396166749522014,purchase,15000.0,Republicans,-0.05472406742143586
A. Mitchell Jr. McConnell,M000355,2025-03-12,2025-03-03,WFC,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2025-03-13,Stock,,2025-Q1,78.86000061035156,72.27999877929688,-8.343902840638531,purchase,15000.0,Republicans,-8.343902840638531
Mark Dr Green,G000590,2025-03-05,2025-02-28,NGL,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2025-03-07,ST,,2025-Q1,4.53000020980835,4.630000114440918,-2.2075033112812825,sale,50000.0,Republicans,-0.056602649007212374
Josh Gottheimer,G000583,2025-03-06,2025-02-28,GS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,607.7899780273438,558.9199829101562,8.040605617716997,sale,15000.0,Democrats,0.004092605506133524
April Mcclain Delaney,M001232,2025-03-20,2025-02-28,RVTY,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2025-03-21,ST,,2025-Q1,111.06999969482422,107.33999633789062,3.3582455813290237,sale,50000.0,Democrats,0.24160040153446213
April Mcclain Delaney,M001232,2025-03-20,2025-02-28,TPX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-21,ST,,2025-Q1,63.237105628586434,58.5,7.491022211562159,sale,15000.0,Democrats,0.1616767383790394
April Mcclain Delaney,M001232,2025-03-20,2025-02-28,LH,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-21,ST,,2025-Q1,249.22999572753903,231.6699981689453,-7.045699899537987,purchase,15000.0,Democrats,-0.1520654654576544
April Mcclain Delaney,M001232,2025-03-20,2025-02-28,CPAY,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2025-03-21,ST,,2025-Q1,365.1799926757813,355.239990234375,-2.721946065164449,purchase,50000.0,Democrats,-0.1958234579254999
Josh Gottheimer,G000583,2025-03-06,2025-02-28,V,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,354.7099914550781,349.8599853515625,-1.3673158975928787,purchase,15000.0,Democrats,-0.0006959531205935928
Josh Gottheimer,G000583,2025-03-06,2025-02-27,XYZ,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,65.01000213623047,56.9900016784668,12.336563904362768,sale,15000.0,Democrats,0.006279214746027877
Josh Gottheimer,G000583,2025-03-06,2025-02-27,FNA,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,13.020000457763672,13.010000228881836,0.0768066707391927,sale,15000.0,Democrats,3.909399596497762e-05
April Mcclain Delaney,M001232,2025-03-20,2025-02-27,PAYX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-21,ST,,2025-Q1,149.35000610351562,151.8300018310547,1.6605260302568443,purchase,15000.0,Democrats,0.03583869130050743
April Mcclain Delaney,M001232,2025-03-20,2025-02-27,LH,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-21,ST,,2025-Q1,249.97000122070312,231.6699981689453,-7.320879690519505,purchase,15000.0,Democrats,-0.1580045976371116
Rob Bresnahan,B001327,2025-03-27,2025-02-27,ORCL,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,173.0,145.77999877929688,15.734104751851518,sale,15000.0,Republicans,0.053638993472221085
April Mcclain Delaney,M001232,2025-03-20,2025-02-27,CACI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-21,ST,,2025-Q1,328.5599975585937,375.989990234375,14.435717381365889,purchase,15000.0,Democrats,0.3115622456409904
Josh Gottheimer,G000583,2025-03-06,2025-02-27,KKR,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,134.27000427246094,117.54000091552734,12.459970823405234,sale,15000.0,Democrats,0.006342027904685393
Rob Bresnahan,B001327,2025-03-27,2025-02-27,ALAB,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,85.0199966430664,62.790000915527344,26.14678499796433,sale,15000.0,Republicans,0.08913676703851475
Josh Gottheimer,G000583,2025-03-06,2025-02-27,BX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,159.9199981689453,144.5,9.642320126001415,sale,15000.0,Democrats,0.004907865690194137
Rob Bresnahan,B001327,2025-03-27,2025-02-27,TSLA,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,291.1600036621094,273.1300048828125,6.192470996195156,sale,15000.0,Republicans,0.02111069657793803
Rob Bresnahan,B001327,2025-03-27,2025-02-26,INTC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,23.25,23.6200008392334,1.5914014590683805,purchase,15000.0,Republicans,0.005425232246824024
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,AKAM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,78.12000274658203,81.55999755859375,-4.403475026967056,sale,15000.0,Democrats,-0.0426142744545199
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,UBER,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,75.33000183105469,74.86000061035156,-0.6239230177601929,purchase,15000.0,Democrats,-0.006037964688001867
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,LUV,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,30.22076498526785,33.93000030517578,-12.27379691320232,sale,15000.0,Democrats,-0.11877867980518375
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,DG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,78.16000366210938,87.54000091552734,12.001019465106843,purchase,15000.0,Democrats,0.11613889804942107
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,UNH,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2025-03-07,ST,,2025-Q1,462.67267423530535,515.719970703125,-11.465405117234337,sale,50000.0,Democrats,-0.36985177797530117
Greg Landsman,L000601,2025-03-05,2025-02-26,AMP,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,526.239990234375,498.8399963378906,-5.206748708755687,purchase,15000.0,Democrats,-0.45941900371373706
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,WBA,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,11.300000190734863,11.15999984741211,1.238941070439481,sale,15000.0,Democrats,0.011989752294575622
David H. McCormick,M001243,2025-03-05,2025-02-26,BITB,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2025-03-06,Stock,,2025-Q1,46.65999984741211,47.380001068115234,1.543080203724129,purchase,50000.0,Republicans,0.014981361201205136
Josh Gottheimer,G000583,2025-03-06,2025-02-26,KKR,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,130.5,117.54000091552734,9.931033781205102,sale,15000.0,Democrats,0.005054818687413524
Scott Scott Franklin,F000472,2025-03-18,2025-02-26,AMZN,Purchase,"$50,001 - $100,000",Representatives,50001.0,R,2025-03-19,ST,,2025-Q1,214.94000244140625,201.3600006103516,-6.318043024474547,purchase,100000.0,Republicans,-0.11721786687336823
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,EPAC,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,46.29999923706055,46.220001220703125,-0.1727818956277389,purchase,15000.0,Democrats,-0.0016720828609136022
John Boozman,B001236,2025-03-06,2025-02-26,ECL,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,264.9345360553753,252.67999267578125,-4.625498646591198,purchase,15000.0,Republicans,-0.12501347693489726
John Boozman,B001236,2025-03-06,2025-02-26,FTGC,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,24.949899145913644,25.32999992370605,1.5234561693796045,sale,15000.0,Republicans,-0.04117449106431363
Thomas H. Kean Jr,K000398,2025-03-14,2025-02-26,SYK,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2025-03-14,ST,,2025-Q1,391.5499877929688,367.5400085449219,6.132034222088165,sale,50000.0,Republicans,1.9780755555123113
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,F,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,9.460000038146973,9.899999618530272,-4.651158336247619,sale,15000.0,Democrats,-0.04501120970562212
John Boozman,B001236,2025-03-06,2025-02-26,LITP,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,6.400000095367432,6.309999942779541,-1.406252363230998,purchase,15000.0,Republicans,-0.038006820627864805
Josh Gottheimer,G000583,2025-03-06,2025-02-26,FI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,231.8999938964844,219.17999267578125,-5.485123568559077,purchase,15000.0,Democrats,-0.0027918850874918953
Rob Bresnahan,B001327,2025-03-27,2025-02-26,PLTR,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,89.16000366210938,90.08999633789062,-1.043060383112649,sale,15000.0,Republicans,-0.0035558876697022127
Josh Gottheimer,G000583,2025-03-06,2025-02-26,BX,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,158.3800048828125,144.5,8.763735607334084,sale,15000.0,Democrats,0.004460673027146633
John Boozman,B001236,2025-03-06,2025-02-26,TBLL,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,105.12710004208412,105.5,0.3547134447412826,purchase,15000.0,Republicans,0.009586849857872504
Greg Landsman,L000601,2025-03-05,2025-02-26,NVDA,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,129.97805439122038,111.43000030517578,14.270142889057944,sale,15000.0,Democrats,1.2591302549168775
Rob Bresnahan,B001327,2025-03-27,2025-02-26,SNOW,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,166.0,156.97999572753906,-5.433737513530685,purchase,15000.0,Republicans,-0.018524105159763698
Greg Landsman,L000601,2025-03-05,2025-02-26,COST,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,1050.1400146484375,938.75,10.607158387896332,sale,15000.0,Democrats,0.9359257401084998
John Boozman,B001236,2025-03-06,2025-02-26,AXP,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,295.1400146484375,272.0199890136719,-7.833578805742607,purchase,15000.0,Republicans,-0.21171834610115153
Rob Bresnahan,B001327,2025-03-27,2025-02-26,APP,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,328.4700012207031,261.70001220703125,20.327575962959333,sale,15000.0,Republicans,0.06929855441917955
Rob Bresnahan,B001327,2025-03-27,2025-02-26,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,129.97805439122038,111.43000030517578,-14.270142889057944,purchase,15000.0,Republicans,-0.04864821439451572
Rob Bresnahan,B001327,2025-03-27,2025-02-26,TTD,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,75.05999755859375,57.2599983215332,-23.7143615987536,purchase,15000.0,Republicans,-0.08084441454120546
Greg Landsman,L000601,2025-03-05,2025-02-26,CRWD,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,384.6900024414063,366.55999755859375,-4.712886939549192,purchase,15000.0,Democrats,-0.41584296525434045
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,HUM,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,257.6600036621094,270.3800048828125,4.93673874094324,purchase,15000.0,Democrats,0.0477748910413862
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,CDNS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,251.1000061035156,262.5400085449219,-4.555954664807984,sale,15000.0,Democrats,-0.04408988385298049
Greg Landsman,L000601,2025-03-05,2025-02-26,PH,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,662.2100219726562,626.260009765625,5.428793134229504,sale,15000.0,Democrats,0.4790111589026033
Scott Scott Franklin,F000472,2025-03-18,2025-02-26,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-19,ST,,2025-Q1,214.94000244140625,201.3600006103516,-6.318043024474547,purchase,15000.0,Republicans,-0.017582680031005233
Scott Scott Franklin,F000472,2025-03-18,2025-02-26,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-19,ST,,2025-Q1,214.94000244140625,201.3600006103516,-6.318043024474547,purchase,15000.0,Republicans,-0.017582680031005233
Thomas H. Kean Jr,K000398,2025-03-14,2025-02-26,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-14,ST,,2025-Q1,214.94000244140625,201.3600006103516,-6.318043024474547,purchase,15000.0,Republicans,-0.6114235184975368
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,ANSS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,328.94000244140625,322.0899963378906,2.082448486859183,sale,15000.0,Democrats,0.020152727292185642
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,DHR,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,210.07000732421875,210.1100006103516,-0.0190380752789176,sale,15000.0,Democrats,-0.00018423943818307353
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,WYNN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,91.83000183105467,86.1500015258789,-6.185342689664351,purchase,15000.0,Democrats,-0.05985815506126791
John Boozman,B001236,2025-03-06,2025-02-26,NVDA,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,129.97805439122038,111.43000030517578,-14.270142889057944,purchase,15000.0,Republicans,-0.3856795375421066
John Boozman,B001236,2025-03-06,2025-02-26,AMZN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,214.94000244140625,201.3600006103516,-6.318043024474547,purchase,15000.0,Republicans,-0.17075791958039316
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,PCG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,16.020000457763672,17.149999618530273,-7.053677456163725,sale,15000.0,Democrats,-0.0682613947370683
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,TSLA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,303.7099914550781,273.1300048828125,-10.068811508556747,purchase,15000.0,Democrats,-0.0974401113731298
Greg Landsman,L000601,2025-03-05,2025-02-26,AMZN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,214.94000244140625,201.3600006103516,6.318043024474547,sale,15000.0,Democrats,0.55747438451246
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,GM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,48.7856525011086,47.20000076293945,3.250241939744713,sale,15000.0,Democrats,0.031453954255594
John Boozman,B001236,2025-03-06,2025-02-26,MSI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,423.7018450392216,432.3299865722656,2.0363710080718143,purchase,15000.0,Republicans,0.05503705427221119
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,ALGN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,185.7899932861328,164.2899932861328,11.572205596072186,sale,15000.0,Democrats,0.1119890864136018
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,MRK,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2025-03-07,ST,,2025-Q1,90.51800930207251,87.5999984741211,-3.2236798516122565,purchase,50000.0,Democrats,-0.10398967263265343
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,CMG,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,52.68000030517578,50.91999816894531,3.340930383513209,sale,15000.0,Democrats,0.03233158435657944
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,MSFT,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2025-03-07,ST,,2025-Q1,398.010009765625,390.5799865722656,-1.8667930481785295,purchase,50000.0,Democrats,-0.06021913058640418
Gilbert Cisneros,C001123,2025-03-06,2025-02-26,PFE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2025-03-07,ST,,2025-Q1,26.68000030517578,25.01000022888184,-6.259370529204881,purchase,15000.0,Democrats,-0.06057455350843434
John Boozman,B001236,2025-03-06,2025-02-26,EMLP,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,36.694945987562974,37.16999816894531,1.2945983938587833,sale,15000.0,Republicans,-0.03498914577996711
John Boozman,B001236,2025-03-06,2025-02-26,IVW,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2025-03-07,Stock,,2025-Q1,101.8742216218744,94.86000061035156,-6.885177525632985,sale,15000.0,Republicans,0.18608587907116175
Rob Bresnahan,B001327,2025-03-27,2025-02-25,CAG,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,25.8700008392334,26.459999084472656,-2.280627081946168,sale,15000.0,Republicans,-0.007774865052089209
