Representative,BioGuideID,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,Quarter,TransactionType,TradeAmount,PartyName
Rob Bresnahan,B001327,3/27/2025,3/3/2025,INTC,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,3/3/2025,TTWO,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/9/2025,3/3/2025,IBIT,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Gilbert Cisneros,C001123,3/6/2025,3/3/2025,STRL,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Marjorie Taylor Greene,G000596,3/9/2025,3/3/2025,DG,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Marjorie Taylor Greene,G000596,3/9/2025,3/3/2025,PI,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
A. Mitchell Jr. McConnell,M000355,3/12/2025,3/3/2025,WFC,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
Mark Dr Green,G000590,3/5/2025,2/28/2025,NGL,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/28/2025,GS,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/28/2025,RVTY,Sale,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,sale,50000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/28/2025,TPX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/28/2025,LH,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/28/2025,CPAY,Purchase,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,purchase,50000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/28/2025,V,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/27/2025,XYZ,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/27/2025,FNA,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/27/2025,PAYX,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
April Mcclain Delaney,M001232,3/20/2025,2/27/2025,LH,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Rob Bresnahan,B001327,3/27/2025,2/27/2025,ORCL,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
April Mcclain Delaney,M001232,3/20/2025,2/27/2025,CACI,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Josh Gottheimer,G000583,3/6/2025,2/27/2025,KKR,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Rob Bresnahan,B001327,3/27/2025,2/27/2025,ALAB,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/27/2025,BX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Rob Bresnahan,B001327,3/27/2025,2/27/2025,TSLA,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/26/2025,INTC,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,AKAM,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,UBER,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,LUV,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,DG,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,UNH,Sale,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,sale,50000,Democrats
Greg Landsman,L000601,3/5/2025,2/26/2025,AMP,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,WBA,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
David H. McCormick,M001243,3/5/2025,2/26/2025,BITB,Purchase,"$15,001 - $50,000",Senate,15001,R,2025-Q1,purchase,50000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/26/2025,KKR,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Scott Scott Franklin,F000472,3/18/2025,2/26/2025,AMZN,Purchase,"$50,001 - $100,000",Representatives,50001,R,2025-Q1,purchase,100000,Republicans
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,EPAC,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
John Boozman,B001236,3/6/2025,2/26/2025,ECL,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
John Boozman,B001236,3/6/2025,2/26/2025,FTGC,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,2025-Q1,sale,15000,Republicans
Thomas H. Kean Jr,K000398,3/14/2025,2/26/2025,SYK,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,F,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
John Boozman,B001236,3/6/2025,2/26/2025,LITP,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/26/2025,FI,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Rob Bresnahan,B001327,3/27/2025,2/26/2025,PLTR,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/26/2025,BX,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
John Boozman,B001236,3/6/2025,2/26/2025,TBLL,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
Greg Landsman,L000601,3/5/2025,2/26/2025,NVDA,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Rob Bresnahan,B001327,3/27/2025,2/26/2025,SNOW,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Greg Landsman,L000601,3/5/2025,2/26/2025,COST,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
John Boozman,B001236,3/6/2025,2/26/2025,AXP,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/26/2025,APP,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/26/2025,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/26/2025,TTD,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Greg Landsman,L000601,3/5/2025,2/26/2025,CRWD,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,HUM,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,CDNS,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Greg Landsman,L000601,3/5/2025,2/26/2025,PH,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Scott Scott Franklin,F000472,3/18/2025,2/26/2025,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Scott Scott Franklin,F000472,3/18/2025,2/26/2025,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Thomas H. Kean Jr,K000398,3/14/2025,2/26/2025,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,ANSS,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,DHR,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,WYNN,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
John Boozman,B001236,3/6/2025,2/26/2025,NVDA,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
John Boozman,B001236,3/6/2025,2/26/2025,AMZN,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,PCG,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,TSLA,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
Greg Landsman,L000601,3/5/2025,2/26/2025,AMZN,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,GM,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
John Boozman,B001236,3/6/2025,2/26/2025,MSI,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,ALGN,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,MRK,Purchase,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,purchase,50000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,CMG,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,MSFT,Purchase,"$15,001 - $50,000",Representatives,15001,D,2025-Q1,purchase,50000,Democrats
Gilbert Cisneros,C001123,3/6/2025,2/26/2025,PFE,Purchase,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,purchase,15000,Democrats
John Boozman,B001236,3/6/2025,2/26/2025,EMLP,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,2025-Q1,sale,15000,Republicans
John Boozman,B001236,3/6/2025,2/26/2025,IVW,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,CAG,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ZTS,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,MSFT,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,AOS,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,PLTR,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,MRNA,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,PWR,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,WY,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,LH,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,GEHC,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,INTU,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,CAT,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,VTRS,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ON,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ODFL,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,KHC,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,TMO,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,UPS,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,CI,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,HSY,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,UBER,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,WST,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
John Boozman,B001236,3/6/2025,2/25/2025,URNM,Purchase,"$1,001 - $15,000",Senate,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,LIN,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Josh Gottheimer,G000583,3/6/2025,2/25/2025,VRT,Sale,"$1,001 - $15,000",Representatives,1001,D,2025-Q1,sale,15000,Democrats
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ALGN,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,BIIB,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,CMCSA,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,COP,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,DHI,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,DE,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,LULU,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,OXY,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,PLTR,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,REGN,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ROK,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,SMCI,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,GWW,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,TECH,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,DG,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,HAL,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,MDLZ,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,WAT,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,IR,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,BABA,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,TWLO,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ABNB,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ACGL,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,XOM,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,INTU,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,KDP,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,MDT,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,NDSN,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,NVDA,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,RVTY,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ABBV,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,AVY,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,BA,Purchase,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,purchase,50000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,CSX,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,SRE,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,DXCM,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,EMR,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,FCX,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,MRK,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,TFX,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,URI,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ZM,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,CPB,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,DHR,Sale,"$15,001 - $50,000",Representatives,15001,R,2025-Q1,sale,50000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,ETN,Sale,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,sale,15000,Republicans
Rob Bresnahan,B001327,3/27/2025,2/25/2025,EOG,Purchase,"$1,001 - $15,000",Representatives,1001,R,2025-Q1,purchase,15000,Republicans
