Quarter,PartyName,Representative,Ticker,TransactionType,TradeAmount_UpperRange_$,TradeAmount_UpperRange,PercentChange,TransactionDate
2025-Q1,Democrats,April Mcclain Delaney,FBIN,purchase,"$15,000.00",15000.0,-8.269780246594792,2025-02-08
2025-Q1,Democrats,April Mcclain Delaney,CNM,purchase,"$15,000.00",15000.0,-9.218181263316762,2025-02-08
2025-Q1,Democrats,Josh Gottheimer,DSCSY,purchase,"$15,000.00",15000.0,-27.57256165730984,2025-02-07
2025-Q1,Democrats,Josh Gottheimer,AVGO,purchase,"$15,000.00",15000.0,-26.434782310638976,2025-02-06
2025-Q1,Democrats,Josh Gottheimer,TWLO,purchase,"$15,000.00",15000.0,-31.272356470046116,2025-02-06
2025-Q1,Democrats,April Mcclain Delaney,CPAY,purchase,"$15,000.00",15000.0,-6.065895310615498,2025-02-06
2025-Q1,Democrats,April Mcclain Delaney,PAYX,purchase,"$15,000.00",15000.0,1.9127870884523384,2025-02-05
2025-Q1,Democrats,William R. Keating,PEP,purchase,"$15,000.00",15000.0,5.302535366211996,2025-02-05
2025-Q1,Democrats,Julie Johnson,NXPI,purchase,"$15,000.00",15000.0,-0.3547068266407246,2025-02-05
2025-Q1,Democrats,April Mcclain Delaney,LH,purchase,"$15,000.00",15000.0,-6.101266077221164,2025-02-05
2025-Q1,Democrats,William R. Keating,MSFT,purchase,"$15,000.00",15000.0,-5.089576883798219,2025-02-05
2025-Q1,Democrats,William R. Keating,ARMK,purchase,"$15,000.00",15000.0,-8.29124300618933,2025-02-05
2025-Q1,Democrats,William R. Keating,ACN,purchase,"$15,000.00",15000.0,-21.055730771903715,2025-02-05
2025-Q1,Democrats,Josh Gottheimer,TSLA,purchase,"$15,000.00",15000.0,-29.516658150841614,2025-02-05
2025-Q1,Democrats,Josh Gottheimer,UNP,purchase,"$15,000.00",15000.0,-2.048735864300796,2025-02-03
2025-Q1,Democrats,Julie Johnson,ETN,purchase,"$15,000.00",15000.0,-11.47979866899352,2025-02-03
2025-Q1,Democrats,Josh Gottheimer,SHOP,purchase,"$15,000.00",15000.0,-8.357920688261801,2025-02-03
2025-Q1,Democrats,Josh Gottheimer,XYZ,purchase,"$15,000.00",15000.0,-35.70622510053604,2025-02-03
2025-Q1,Democrats,Josh Gottheimer,WMT,purchase,"$15,000.00",15000.0,-11.26883454320585,2025-02-03
2025-Q1,Democrats,Josh Gottheimer,TSLA,purchase,"$15,000.00",15000.0,-31.97768393067441,2025-01-31
2025-Q1,Democrats,Josh Gottheimer,V,purchase,"$15,000.00",15000.0,1.148344717595856,2025-01-31
2025-Q1,Democrats,Josh Gottheimer,BABA,purchase,"$15,000.00",15000.0,32.97059302236519,2025-01-31
2025-Q1,Democrats,Josh Gottheimer,TWLO,purchase,"$15,000.00",15000.0,-32.12000020345052,2025-01-31
2025-Q1,Democrats,Gilbert Cisneros,CACI,purchase,"$50,000.00",50000.0,-1.5320569242670294,2025-01-31
2025-Q1,Democrats,Josh Gottheimer,MA,purchase,"$15,000.00",15000.0,-1.1085097936948527,2025-01-31
2025-Q1,Democrats,Gilbert Cisneros,HE,purchase,"$100,000.00",100000.0,22.47807254889228,2025-01-31
2025-Q1,Democrats,Josh Gottheimer,MMM,purchase,"$15,000.00",15000.0,-1.860374867655859,2025-01-30
2025-Q1,Democrats,Josh Gottheimer,GLW,purchase,"$15,000.00",15000.0,-6.643567341403643,2025-01-30
2025-Q1,Democrats,Gilbert Cisneros,ISRG,purchase,"$15,000.00",15000.0,-12.617851071864056,2025-01-30
2025-Q1,Democrats,Josh Gottheimer,MA,purchase,"$15,000.00",15000.0,0.4630643827421171,2025-01-30
2025-Q1,Democrats,Josh Gottheimer,TSLA,purchase,"$15,000.00",15000.0,-33.50941971506278,2025-01-30
2025-Q1,Democrats,Josh Gottheimer,V,purchase,"$15,000.00",15000.0,3.221898380434988,2025-01-30
2025-Q1,Democrats,Gilbert Cisneros,AGIO,purchase,"$15,000.00",15000.0,-7.912813953612874,2025-01-29
2025-Q1,Democrats,Gilbert Cisneros,CRNX,purchase,"$15,000.00",15000.0,-7.891258674937851,2025-01-29
2025-Q1,Democrats,Gilbert Cisneros,AVGO,purchase,"$15,000.00",15000.0,-17.395878404934304,2025-01-29
2025-Q1,Democrats,Gilbert Cisneros,SWTX,purchase,"$15,000.00",15000.0,32.98796666482217,2025-01-29
2025-Q1,Democrats,Gilbert Cisneros,USPH,purchase,"$15,000.00",15000.0,-18.126379741540617,2025-01-29
2025-Q1,Democrats,Josh Gottheimer,ABT,purchase,"$15,000.00",15000.0,2.489077988649728,2025-01-29
2025-Q1,Democrats,Gilbert Cisneros,FNA,purchase,"$15,000.00",15000.0,-0.7627721618167852,2025-01-29
2025-Q1,Democrats,Josh Gottheimer,CRM,purchase,"$15,000.00",15000.0,-22.56383376171587,2025-01-29
2025-Q1,Democrats,Josh Gottheimer,UNP,purchase,"$15,000.00",15000.0,-4.979036309659198,2025-01-29
2025-Q1,Democrats,Josh Gottheimer,TSLA,purchase,"$15,000.00",15000.0,-31.185910568449955,2025-01-28
