Quarter,TransactionDate,Representative,PartyName,Ticker,TransactionType,Range,TradeAmount,EntryPrice,ExitPrice,PercentChange,WeightedTradeReturn
2025-Q1,2025-03-17,Marjorie Taylor Greene,Republicans,KMI,purchase,"$1,001 - $15,000",15000.0,27.040000915527344,28.229999542236328,4.4008823462193165,0.0021654333342066507
2025-Q1,2025-03-12,Susie Lee,Democrats,FLL,sale,"$15,001 - $50,000",50000.0,4.260000228881836,4.230000019073486,0.7042302393543312,0.0008949424823412519
2025-Q1,2025-03-07,Marjorie Taylor Greene,Republicans,GS,purchase,"$1,001 - $15,000",15000.0,568.1699829101562,558.9199829101562,-1.6280339120735787,-0.0008010663828474227
2025-Q1,2025-03-07,Marjorie Taylor Greene,Republicans,CRWD,purchase,"$1,001 - $15,000",15000.0,344.5599975585937,366.55999755859375,6.384954770107582,0.0031416867820768814
2025-Q1,2025-03-07,Rob Bresnahan,Republicans,INTU,purchase,"$1,001 - $15,000",15000.0,605.8599853515625,615.2999877929688,1.558116176946147,0.000766663692117179
2025-Q1,2025-03-07,Marjorie Taylor Greene,Republicans,DG,purchase,"$1,001 - $15,000",15000.0,75.56999969482422,87.54000091552734,15.839620575680572,0.00779381035378739
2025-Q1,2025-03-07,Mikie Sherrill,Democrats,UBS,sale,"$250,001 - $500,000",500000.0,33.689998626708984,31.90999984741211,5.283463496153768,0.06714275633693949
2025-Q1,2025-03-07,Marjorie Taylor Greene,Republicans,TSLA,purchase,"$1,001 - $15,000",15000.0,259.32000732421875,273.1300048828125,5.325465513090007,0.0026203701064900805
2025-Q1,2025-03-06,Rob Bresnahan,Republicans,TSLA,sale,"$1,001 - $15,000",15000.0,272.0599975585937,273.1300048828125,-0.3932982922225829,-0.00019352056366536802
2025-Q1,2025-03-05,Rob Bresnahan,Republicans,SE,purchase,"$1,001 - $15,000",15000.0,135.64999389648438,133.57000732421875,-1.5333480765600918,-0.000754476665520793
2025-Q1,2025-03-04,Rob Bresnahan,Republicans,ZM,purchase,"$1,001 - $15,000",15000.0,73.95999908447266,76.77999877929688,3.812871457182395,0.001876105358626732
2025-Q1,2025-03-04,Rob Bresnahan,Republicans,BABA,sale,"$15,001 - $50,000",50000.0,129.60000610351562,135.6300048828125,-4.652776616754573,-0.007631255727004385
2025-Q1,2025-03-04,Rob Bresnahan,Republicans,CRDO,sale,"$1,001 - $15,000",15000.0,49.0099983215332,42.43000030517578,13.425827875342758,0.006606115077255744
2025-Q1,2025-03-04,Rob Bresnahan,Republicans,TWLO,purchase,"$1,001 - $15,000",15000.0,114.01000213623048,101.81999969482422,-10.692046498552315,-0.005260970886609308
2025-Q1,2025-03-04,Rob Bresnahan,Republicans,META,purchase,"$1,001 - $15,000",15000.0,644.9362031172728,602.5800170898438,-6.567500137641861,-0.003231507366397504
2025-Q1,2025-03-03,Rob Bresnahan,Republicans,TSM,sale,"$1,001 - $15,000",15000.0,180.446936265116,168.24000549316406,6.764831270960057,0.0033286032168082943
2025-Q1,2025-03-03,Gilbert Cisneros,Democrats,HLMN,purchase,"$1,001 - $15,000",15000.0,9.770000457763672,9.020000457763672,-7.676560541038839,-0.0029266338318867094
2025-Q1,2025-03-03,William R. Keating,Democrats,BJ,sale,"$1,001 - $15,000",15000.0,101.70999908447266,112.4800033569336,-10.588933604764057,-0.004036955243905474
2025-Q1,2025-03-03,Rob Bresnahan,Republicans,SNOW,purchase,"$1,001 - $15,000",15000.0,178.6999969482422,156.97999572753906,-12.15444968753637,-0.005980539455897837
2025-Q1,2025-03-03,Rob Bresnahan,Republicans,BABA,purchase,"$1,001 - $15,000",15000.0,134.00999450683594,135.6300048828125,1.2088728023146995,0.0005948201421919138
2025-Q1,2025-03-03,Rob Bresnahan,Republicans,NVDA,sale,"$1,001 - $15,000",15000.0,123.49864257535764,111.43000030517578,9.772287385926278,0.004808407767390328
2025-Q1,2025-03-03,Rob Bresnahan,Republicans,INTC,purchase,"$1,001 - $15,000",15000.0,25.0,23.6200008392334,-5.519996643066406,-0.0027160882285056946
2025-Q1,2025-03-03,Rob Bresnahan,Republicans,TTWO,purchase,"$1,001 - $15,000",15000.0,212.88999938964844,214.2899932861328,0.6576137444211239,0.0003235757312224654
2025-Q1,2025-03-03,Marjorie Taylor Greene,Republicans,IBIT,purchase,"$15,001 - $50,000",50000.0,52.970001220703125,49.43999862670898,-6.664154262119315,-0.010930218569984116
2025-Q1,2025-03-03,Gilbert Cisneros,Democrats,STRL,purchase,"$1,001 - $15,000",15000.0,129.13999938964844,117.0,-9.400650028670784,-0.003583930624731522
2025-Q1,2025-03-03,Marjorie Taylor Greene,Republicans,DG,purchase,"$1,001 - $15,000",15000.0,73.56999969482422,87.54000091552734,18.98871996554588,0.009343309807550867
2025-Q1,2025-03-03,Marjorie Taylor Greene,Republicans,PI,purchase,"$1,001 - $15,000",15000.0,97.12999725341795,92.86000061035156,-4.396166749522014,-0.00216311304716517
2025-Q1,2025-03-03,A. Mitchell Jr. McConnell,Republicans,WFC,purchase,"$1,001 - $15,000",15000.0,78.86000061035156,72.27999877929688,-8.343902840638531,-0.004105577910761948
2025-Q1,2025-02-28,Mark Dr Green,Republicans,NGL,sale,"$15,001 - $50,000",50000.0,4.53000020980835,4.630000114440918,-2.2075033112812825,-0.003620638529245994
2025-Q1,2025-02-28,Josh Gottheimer,Democrats,GS,sale,"$1,001 - $15,000",15000.0,607.7899780273438,558.9199829101562,8.040605617716997,0.0030654234150655725
2025-Q1,2025-02-28,April Mcclain Delaney,Democrats,RVTY,sale,"$15,001 - $50,000",50000.0,111.06999969482422,107.33999633789062,3.3582455813290237,0.004267690407077168
2025-Q1,2025-02-28,April Mcclain Delaney,Democrats,TPX,sale,"$1,001 - $15,000",15000.0,63.237105628586434,58.5,7.491022211562159,0.0028558986700580095
2025-Q1,2025-02-28,April Mcclain Delaney,Democrats,LH,purchase,"$1,001 - $15,000",15000.0,249.22999572753903,231.6699981689453,-7.045699899537987,-0.0026861227218978223
2025-Q1,2025-02-28,April Mcclain Delaney,Democrats,CPAY,purchase,"$15,001 - $50,000",50000.0,365.1799926757813,355.239990234375,-2.721946065164449,-0.003459074933491484
2025-Q1,2025-02-28,Josh Gottheimer,Democrats,V,purchase,"$1,001 - $15,000",15000.0,354.7099914550781,349.8599853515625,-1.3673158975928787,-0.0005212794119683106
2025-Q1,2025-02-27,Josh Gottheimer,Democrats,XYZ,sale,"$1,001 - $15,000",15000.0,65.01000213623047,56.9900016784668,12.336563904362768,0.004703226803035749
2025-Q1,2025-02-27,Josh Gottheimer,Democrats,FNA,sale,"$1,001 - $15,000",15000.0,13.020000457763672,13.010000228881836,0.0768066707391927,2.9281994181926304e-05
2025-Q1,2025-02-27,April Mcclain Delaney,Democrats,PAYX,purchase,"$1,001 - $15,000",15000.0,149.35000610351562,151.8300018310547,1.6605260302568443,0.0006330636790914389
2025-Q1,2025-02-27,April Mcclain Delaney,Democrats,LH,purchase,"$1,001 - $15,000",15000.0,249.97000122070312,231.6699981689453,-7.320879690519505,-0.002791033050140871
2025-Q1,2025-02-27,Rob Bresnahan,Republicans,ORCL,sale,"$1,001 - $15,000",15000.0,173.0,145.77999877929688,15.734104751851518,0.007741891791955807
2025-Q1,2025-02-27,April Mcclain Delaney,Democrats,CACI,purchase,"$1,001 - $15,000",15000.0,328.5599975585937,375.989990234375,14.435717381365889,0.005503514060757106
2025-Q1,2025-02-27,Josh Gottheimer,Democrats,KKR,sale,"$1,001 - $15,000",15000.0,134.27000427246094,117.54000091552734,12.459970823405234,0.004750274808770581
2025-Q1,2025-02-27,Rob Bresnahan,Republicans,ALAB,sale,"$1,001 - $15,000",15000.0,85.0199966430664,62.790000915527344,26.14678499796433,0.012865401835967358
2025-Q1,2025-02-27,Josh Gottheimer,Democrats,BX,sale,"$1,001 - $15,000",15000.0,159.9199981689453,144.5,9.642320126001415,0.0036760656218076306
2025-Q1,2025-02-27,Rob Bresnahan,Republicans,TSLA,sale,"$1,001 - $15,000",15000.0,291.1600036621094,273.1300048828125,6.192470996195156,0.0030469760519247937
2025-Q1,2025-02-26,Rob Bresnahan,Republicans,INTC,purchase,"$1,001 - $15,000",15000.0,23.25,23.6200008392334,1.5914014590683805,0.0007830415576849502
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,AKAM,sale,"$1,001 - $15,000",15000.0,78.12000274658203,81.55999755859375,-4.403475026967056,-0.001678793376655378
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,UBER,purchase,"$1,001 - $15,000",15000.0,75.33000183105469,74.86000061035156,-0.6239230177601929,-0.0002378661905300011
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,LUV,sale,"$1,001 - $15,000",15000.0,30.22076498526785,33.93000030517578,-12.27379691320232,-0.004679297336333328
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,DG,purchase,"$1,001 - $15,000",15000.0,78.16000366210938,87.54000091552734,12.001019465106843,0.004575302884142906
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,UNH,sale,"$15,001 - $50,000",50000.0,462.67267423530535,515.719970703125,-11.465405117234337,-0.014570345809168047
2025-Q1,2025-02-26,Greg Landsman,Democrats,AMP,purchase,"$1,001 - $15,000",15000.0,526.239990234375,498.8399963378906,-5.206748708755687,-0.001985035725793247
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,WBA,sale,"$1,001 - $15,000",15000.0,11.300000190734863,11.15999984741211,1.238941070439481,0.0004723374267783
2025-Q1,2025-02-26,David H. McCormick,Republicans,BITB,purchase,"$15,001 - $50,000",50000.0,46.65999984741211,47.380001068115234,1.543080203724129,0.002530884375470115
2025-Q1,2025-02-26,Josh Gottheimer,Democrats,KKR,sale,"$1,001 - $15,000",15000.0,130.5,117.54000091552734,9.931033781205102,0.003786135639041213
2025-Q1,2025-02-26,Scott Scott Franklin,Republicans,AMZN,purchase,"$50,001 - $100,000",100000.0,214.94000244140625,201.3600006103516,-6.318043024474547,-0.020725087828356727
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,EPAC,purchase,"$1,001 - $15,000",15000.0,46.29999923706055,46.220001220703125,-0.1727818956277389,-6.587186261065151e-05
2025-Q1,2025-02-26,John Boozman,Republicans,ECL,purchase,"$1,001 - $15,000",15000.0,264.9345360553753,252.67999267578125,-4.625498646591198,-0.0022759547219572897
2025-Q1,2025-02-26,John Boozman,Republicans,FTGC,sale,"$1,001 - $15,000",15000.0,24.949899145913644,25.32999992370605,1.5234561693796045,0.0007496093993995101
2025-Q1,2025-02-26,Thomas H. Kean Jr,Republicans,SYK,sale,"$15,001 - $50,000",50000.0,391.5499877929688,367.5400085449219,6.132034222088165,0.010057461410674373
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,F,sale,"$1,001 - $15,000",15000.0,9.460000038146973,9.899999618530272,-4.651158336247619,-0.0017732208678031334
2025-Q1,2025-02-26,John Boozman,Republicans,LITP,purchase,"$1,001 - $15,000",15000.0,6.400000095367432,6.309999942779541,-1.406252363230998,-0.0006919398211731989
2025-Q1,2025-02-26,Josh Gottheimer,Democrats,FI,purchase,"$1,001 - $15,000",15000.0,231.8999938964844,219.17999267578125,-5.485123568559077,-0.0020911641511853134
2025-Q1,2025-02-26,Rob Bresnahan,Republicans,PLTR,sale,"$1,001 - $15,000",15000.0,89.16000366210938,90.08999633789062,-1.043060383112649,-0.0005132329259206081
2025-Q1,2025-02-26,Josh Gottheimer,Democrats,BX,sale,"$1,001 - $15,000",15000.0,158.3800048828125,144.5,8.763735607334084,0.003341111554454474
2025-Q1,2025-02-26,John Boozman,Republicans,TBLL,purchase,"$1,001 - $15,000",15000.0,105.12710004208412,105.5,0.3547134447412826,0.00017453507203933866
2025-Q1,2025-02-26,Greg Landsman,Democrats,NVDA,sale,"$1,001 - $15,000",15000.0,129.97805439122038,111.43000030517578,14.270142889057944,0.005440389969141419
2025-Q1,2025-02-26,Rob Bresnahan,Republicans,SNOW,purchase,"$1,001 - $15,000",15000.0,166.0,156.97999572753906,-5.433737513530685,-0.0026736448319816396
2025-Q1,2025-02-26,Greg Landsman,Democrats,COST,sale,"$1,001 - $15,000",15000.0,1050.1400146484375,938.75,10.607158387896332,0.004043903312198373
2025-Q1,2025-02-26,John Boozman,Republicans,AXP,purchase,"$1,001 - $15,000",15000.0,295.1400146484375,272.0199890136719,-7.833578805742607,-0.0038544753841607054
2025-Q1,2025-02-26,Rob Bresnahan,Republicans,APP,sale,"$1,001 - $15,000",15000.0,328.4700012207031,261.70001220703125,20.327575962959333,0.01000208756583205
2025-Q1,2025-02-26,Rob Bresnahan,Republicans,NVDA,purchase,"$1,001 - $15,000",15000.0,129.97805439122038,111.43000030517578,-14.270142889057944,-0.007021556284594691
2025-Q1,2025-02-26,Rob Bresnahan,Republicans,TTD,purchase,"$1,001 - $15,000",15000.0,75.05999755859375,57.2599983215332,-23.7143615987536,-0.011668539412212697
2025-Q1,2025-02-26,Greg Landsman,Democrats,CRWD,purchase,"$1,001 - $15,000",15000.0,384.6900024414063,366.55999755859375,-4.712886939549192,-0.001796754456557069
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,HUM,purchase,"$1,001 - $15,000",15000.0,257.6600036621094,270.3800048828125,4.93673874094324,0.0018820963556779415
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,CDNS,sale,"$1,001 - $15,000",15000.0,251.1000061035156,262.5400085449219,-4.555954664807984,-0.0017369251486115075
2025-Q1,2025-02-26,Greg Landsman,Democrats,PH,sale,"$1,001 - $15,000",15000.0,662.2100219726562,626.260009765625,5.428793134229504,0.002069688575764203
2025-Q1,2025-02-26,Scott Scott Franklin,Republicans,AMZN,purchase,"$1,001 - $15,000",15000.0,214.94000244140625,201.3600006103516,-6.318043024474547,-0.0031087631742535084
2025-Q1,2025-02-26,Scott Scott Franklin,Republicans,AMZN,purchase,"$1,001 - $15,000",15000.0,214.94000244140625,201.3600006103516,-6.318043024474547,-0.0031087631742535084
2025-Q1,2025-02-26,Thomas H. Kean Jr,Republicans,AMZN,purchase,"$1,001 - $15,000",15000.0,214.94000244140625,201.3600006103516,-6.318043024474547,-0.0031087631742535084
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,ANSS,sale,"$1,001 - $15,000",15000.0,328.94000244140625,322.0899963378906,2.082448486859183,0.0007939185996413202
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,DHR,sale,"$1,001 - $15,000",15000.0,210.07000732421875,210.1100006103516,-0.0190380752789176,-7.2581301101477685e-06
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,WYNN,purchase,"$1,001 - $15,000",15000.0,91.83000183105467,86.1500015258789,-6.185342689664351,-0.002358117685727926
2025-Q1,2025-02-26,John Boozman,Republicans,NVDA,purchase,"$1,001 - $15,000",15000.0,129.97805439122038,111.43000030517578,-14.270142889057944,-0.007021556284594691
2025-Q1,2025-02-26,John Boozman,Republicans,AMZN,purchase,"$1,001 - $15,000",15000.0,214.94000244140625,201.3600006103516,-6.318043024474547,-0.0031087631742535084
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,PCG,sale,"$1,001 - $15,000",15000.0,16.020000457763672,17.149999618530273,-7.053677456163725,-0.002689164108335389
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,TSLA,purchase,"$1,001 - $15,000",15000.0,303.7099914550781,273.1300048828125,-10.068811508556747,-0.003838662412717021
2025-Q1,2025-02-26,Greg Landsman,Democrats,AMZN,sale,"$1,001 - $15,000",15000.0,214.94000244140625,201.3600006103516,6.318043024474547,0.00240870873979205
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,GM,sale,"$1,001 - $15,000",15000.0,48.7856525011086,47.20000076293945,3.250241939744713,0.001239131505811938
2025-Q1,2025-02-26,John Boozman,Republicans,MSI,purchase,"$1,001 - $15,000",15000.0,423.7018450392216,432.3299865722656,2.0363710080718143,0.0010019867187494576
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,ALGN,sale,"$1,001 - $15,000",15000.0,185.7899932861328,164.2899932861328,11.572205596072186,0.004411820661865111
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,MRK,purchase,"$15,001 - $50,000",50000.0,90.51800930207251,87.5999984741211,-3.2236798516122565,-0.004096682998617685
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,CMG,sale,"$1,001 - $15,000",15000.0,52.68000030517578,50.91999816894531,3.340930383513209,0.0012737058267301598
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,MSFT,purchase,"$15,001 - $50,000",50000.0,398.010009765625,390.5799865722656,-1.8667930481785295,-0.0023723383507161387
2025-Q1,2025-02-26,Gilbert Cisneros,Democrats,PFE,purchase,"$1,001 - $15,000",15000.0,26.68000030517578,25.01000022888184,-6.259370529204881,-0.0023863402703792917
2025-Q1,2025-02-26,John Boozman,Republicans,EMLP,sale,"$1,001 - $15,000",15000.0,36.694945987562974,37.16999816894531,1.2945983938587833,0.0006370010138717976
2025-Q1,2025-02-26,John Boozman,Republicans,IVW,sale,"$1,001 - $15,000",15000.0,101.8742216218744,94.86000061035156,-6.885177525632985,-0.003387819021961449
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,CAG,sale,"$1,001 - $15,000",15000.0,25.8700008392334,26.459999084472656,-2.280627081946168,-0.0011221717641198138
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,ZTS,sale,"$1,001 - $15,000",15000.0,165.89999389648438,165.02000427246094,0.5304337892697689,0.00026099743608484614
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,MSFT,sale,"$1,001 - $15,000",15000.0,401.1000061035156,390.5799865722656,2.622792164339933,0.0012905324738428404
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,AOS,sale,"$1,001 - $15,000",15000.0,66.52999877929688,66.9000015258789,-0.5561442257190758,-0.0002736481346821761
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,PLTR,purchase,"$1,001 - $15,000",15000.0,90.6500015258789,90.08999633789062,-0.6177663304599174,-0.00030396899973425485
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,MRNA,purchase,"$1,001 - $15,000",15000.0,33.97999954223633,32.119998931884766,-5.473809992373973,-0.0026933623055801085
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,PWR,purchase,"$1,001 - $15,000",15000.0,259.4700012207031,254.8800048828125,-1.7689892150524216,-0.0008704227727008799
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,WY,purchase,"$1,001 - $15,000",15000.0,29.940485324340344,29.59000015258789,-1.1706061807472556,-0.0005759912321210049
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,LH,purchase,"$1,001 - $15,000",15000.0,250.58219748951012,231.6699981689453,-7.547303643291156,-0.003713615045083396
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,GEHC,purchase,"$1,001 - $15,000",15000.0,91.08999633789062,81.66000366210938,-10.352391102093682,-0.0050938450559752406
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,INTU,purchase,"$1,001 - $15,000",15000.0,567.3099975585938,615.2999877929688,8.459218141915157,0.004162318259102095
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,CAT,sale,"$1,001 - $15,000",15000.0,341.0,339.29998779296875,0.4985373041147361,0.00024530292149322757
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,VTRS,purchase,"$1,001 - $15,000",15000.0,11.208860489146655,8.84000015258789,-21.133819435548265,-0.010398795851508085
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,ON,sale,"$1,001 - $15,000",15000.0,53.630001068115234,43.7599983215332,18.403883181069087,0.009055543635100421
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,ODFL,sale,"$1,001 - $15,000",15000.0,180.42086741654532,170.22999572753906,5.648388589928563,0.0027792628784296686
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,KHC,purchase,"$1,001 - $15,000",15000.0,31.097187078503296,30.06999969482422,-3.3031520860262837,-0.0016253003539574956
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,TMO,sale,"$1,001 - $15,000",15000.0,534.3381282287088,511.6799926757813,4.2404115214532005,0.0020864744242020013
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,UPS,sale,"$1,001 - $15,000",15000.0,116.45999908447266,111.01000213623048,4.679715774588927,0.0023026320032420505
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,CI,sale,"$1,001 - $15,000",15000.0,300.73250569520826,324.739990234375,-7.9830028628492435,-0.003927998784409994
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,HSY,purchase,"$1,001 - $15,000",15000.0,177.83999633789062,170.6199951171875,-4.059829829834983,-0.0019976200573240854
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,UBER,sale,"$1,001 - $15,000",15000.0,76.36000061035156,74.86000061035156,1.9643792404536151,0.000966563510146112
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,WST,purchase,"$1,001 - $15,000",15000.0,219.2899932861328,226.05999755859372,3.087238122912128,0.001519060910076494
2025-Q1,2025-02-25,John Boozman,Republicans,URNM,purchase,"$1,001 - $15,000",15000.0,35.77000045776367,33.33000183105469,-6.821354753937099,-0.003356415329147334
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,LIN,sale,"$1,001 - $15,000",15000.0,457.7630107049473,464.7300109863281,-1.521966633051403,-0.0007488764800974592
2025-Q1,2025-02-25,Josh Gottheimer,Democrats,VRT,sale,"$1,001 - $15,000",15000.0,88.96202977423053,76.31999969482422,14.210590868362027,0.0054176861869470174
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,ALGN,purchase,"$1,001 - $15,000",15000.0,191.0,164.2899932861328,-13.984296708830987,-0.006880907024191071
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,BIIB,purchase,"$1,001 - $15,000",15000.0,140.0,140.3300018310547,0.235715593610491,0.00011598274246866869
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,CMCSA,sale,"$1,001 - $15,000",15000.0,36.45000076293945,37.369998931884766,-2.524000410668636,-0.001241922458915189
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,COP,sale,"$1,001 - $15,000",15000.0,99.27999877929688,102.81999969482422,-3.565673810489157,-0.0017544729262698822
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,DHI,sale,"$1,001 - $15,000",15000.0,127.66999816894533,130.0800018310547,-1.887682068358946,-0.0009288250295353186
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,DE,purchase,"$15,001 - $50,000",50000.0,486.6799926757813,479.7200012207031,-1.430096071303832,-0.0023455733496864557
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,LULU,purchase,"$1,001 - $15,000",15000.0,366.4100036621094,341.5299987792969,-6.790208955581894,-0.003341090186443445
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,OXY,purchase,"$15,001 - $50,000",50000.0,49.556944792690985,49.5099983215332,-0.0947323757632157,-0.00015537539078762624
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,PLTR,sale,"$1,001 - $15,000",15000.0,90.6500015258789,90.08999633789062,0.6177663304599174,0.00030396899973425485
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,REGN,sale,"$1,001 - $15,000",15000.0,720.0,635.8300170898438,11.690275404188368,0.005752144696172725
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,ROK,purchase,"$1,001 - $15,000",15000.0,290.7799987792969,268.0799865722656,-7.806593404748119,-0.0038411973452918413
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,SMCI,purchase,"$1,001 - $15,000",15000.0,50.119998931884766,34.720001220703125,-30.72625307137556,-0.015118707432200538
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,GWW,sale,"$1,001 - $15,000",15000.0,996.22998046875,987.239990234375,0.9024010931838244,0.0004440221878877273
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,TECH,purchase,"$1,001 - $15,000",15000.0,66.0199966430664,59.95000076293945,-9.194177807890634,-0.004523951685037215
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,DG,purchase,"$1,001 - $15,000",15000.0,78.8499984741211,87.54000091552734,11.020929118037138,0.0054227960233084165
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,HAL,purchase,"$1,001 - $15,000",15000.0,26.56169867541434,25.34000015258789,-4.599474370053228,-0.0022631495998293727
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,MDLZ,purchase,"$1,001 - $15,000",15000.0,65.22000122070312,67.5,3.4958582284925246,0.0017201204995042764
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,WAT,purchase,"$1,001 - $15,000",15000.0,379.7900085449219,370.5899963378906,-2.4223944811710507,-0.001191927742088429
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,IR,sale,"$1,001 - $15,000",15000.0,82.75967127646628,81.30000305175781,1.7637433815225174,0.000867841585134911
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,BABA,purchase,"$1,001 - $15,000",15000.0,132.7899932861328,135.6300048828125,2.138724105934772,0.0010523490762349213
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,TWLO,purchase,"$1,001 - $15,000",15000.0,116.5,101.81999969482422,-12.600858631052173,-0.006200192864221177
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,ABNB,purchase,"$1,001 - $15,000",15000.0,144.78500366210938,125.6500015258789,-13.216149222806663,-0.006502943688440214
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,ACGL,sale,"$1,001 - $15,000",15000.0,90.0,96.94000244140624,-7.711113823784722,-0.003794217069272456
2025-Q1,2025-02-25,Rob Bresnahan,Republicans,XOM,sale,"$15,001 - $50,000",50000.0,111.3000030517578,117.88999938964844,-5.920930958848294,-0.00971122020477004
